"","species","cites"
"925","Thaptomys nigrita",15
"926","Theropithecus gelada",15
"927","Thomomys talpoides",15
"928","Thylogale billardierii",15
"929","Thylogale thetis",15
"930","Tolypeutes matacus",15
"931","Tonatia bidens",15
"932","Trachops cirrhosus",15
"933","Trachypithecus cristatus",15
"934","Trachypithecus francoisi",15
"935","Trachypithecus obscurus",15
"936","Tragelaphus angasii",15
"937","Tragelaphus eurycerus",15
"938","Tragelaphus imberbis",15
"939","Tragelaphus oryx",15
"940","Tragelaphus scriptus",15
"941","Tragelaphus spekii",15
"942","Tragelaphus strepsiceros",15
"943","Tragulus javanicus",15
"944","Transandinomys bolivaris",15
"945","Trichosurus vulpecula",15
"946","Tscherskia triton",15
"947","Tupaia belangeri",15
"948","Tupaia glis",15
"949","Tursiops truncatus",15
"950","Tylomys nudicaudus",15
"951","Urocitellus columbianus",15
"952","Urocitellus parryii",15
"953","Urocitellus richardsonii",15
"954","Urocitellus undulatus",15
"955","Urocyon cinereoargenteus",15
"956","Urocyon littoralis",15
"957","Uroderma bilobatum",15
"958","Ursus americanus",15
"959","Ursus arctos",15
"960","Ursus maritimus",15
"961","Ursus thibetanus",15
"962","Vampyrodes caraccioli",15
"963","Vandeleuria oleracea",15
"964","Varecia variegata",15
"965","Vespadelus pumilus",15
"966","Vespertilio murinus",15
"967","Vespertilio sinensis",15
"968","Vicugna pacos",15
"969","Vicugna vicugna",15
"970","Vombatus ursinus",15
"971","Vulpes chama",15
"972","Vulpes corsac",15
"973","Vulpes lagopus",15
"974","Vulpes macrotis",15
"975","Vulpes velox",15
"976","Vulpes vulpes",15
"977","Vulpes zerda",15
"978","Wallabia bicolor",15
"979","Xerus erythropus",15
"980","Xerus inauris",15
"981","Zalophus californianus",15
"982","Zapus hudsonius",15
"983","Zygodontomys brevicauda",15
